manuscript_figure	analysis	script_or_notebook	input	output	notes
Figure 1A	bulk_RNAseq	bulk/deseq2_analysis.R	GEO GSE318892 raw counts + GRCm38.98 GTF	plots/PCA_und.pdf; plots/PCA_diff.pdf	PCA of mESC and NPC bulk samples
Figure 1B	bulk_RNAseq	bulk/deseq2_analysis.R	same	plots/sample_distance_heatmap_und.pdf; plots/sample_distance_heatmap_diff.pdf	Sample-to-sample distances
Figure 1C	bulk_RNAseq_chr_enrichment	TODO_missing_python_script	DESeq2 results with chromosome annotation	chromosomal enrichment barplot	Preprint: scipy fisher_exact + statsmodels FDR; script not in repo
Figure 1 (X karyoplot / related)	bulk_RNAseq	bulk/karyoplot_mouse.R	bulk/deseq2_results_NPC.txt; bulk/genes_for_karyo.csv	mm10_DE_Xchr_sig_genes.pdf	Exact panel letter TODO — confirm against manuscript
Figure 1 heatmaps (escapees/markers/top DE)	bulk_RNAseq	bulk/deseq2_analysis.R	counts + GTF	DiffExp/heatmap_*.pdf; plots/heatmap_*_top_50_genes.pdf	Gene sets hard-coded in script
Supplementary Table S2 / DE lists	bulk_RNAseq	bulk/deseq2_analysis.R	counts	DiffExp/deseq2_results_*.txt; deposited bulk/deseq2_results_*.txt	Repo includes deposited result tables
Supplementary Table S3 GSEA	bulk_RNAseq	bulk/webgestalt.R	deseq2_results_*.txt	WebGestaltR ORA/GSEA project folders	Hard-coded absolute paths (portability patched on this branch)
Figure 2B–E scRNA UMAP/clusters/markers/ORA	scRNAseq	scRNAseq/2_clustering.R; scRNAseq/3_cluster_markers.R; scRNAseq/myfunctions.R	10x matrices + good_cells.csv	UMAP PDFs; Specific_cluster_markers.xlsx; GO plots	markers_figs6.pdf filename suggests Fig/Supp link — confirm
Figure 3A diffusion map + slingshot lineages	scRNAseq	scRNAseq/4_diffmap.R; scRNAseq/5_trajectory_inference_and_condiments.R	clustered Seurat RDS	slingshot_curves.pdf; DC1_DC2.pdf	
Figure 3B differential progression	scRNAseq	scRNAseq/5_trajectory_inference_and_condiments.R	slingshot curves	plots_JULY_2023/condiments/diffProg.csv; diff_progression.pdf	condiments progressionTest
Figure 3C–D tradeSeq / gProfiler lineage 2	scRNAseq	scRNAseq/6_run_tradeseq.R; scRNAseq/7_gProfiler_lineage2.R	curves + counts + filtered_genes_for_tradeseq.txt	tradeSeq_sce.rds; ManhattanPlot_Lineage2.pdf; gProfiler_linage2.csv	Filename typo linage2 retained
Supplementary Figure S9 CellRank initial states	scRNAseq_velocity	TODO_missing_scripts	spliced/unspliced counts via kb_python	CellRank plots	scvelo 0.2.5 + cellrank 1.5.1; not in repo
Supplementary Figure S10 ChIP over DE genes	ChIP_seq	TODO_missing_scripts	GSE96107 BigWigs + DE gene lists	boxplots of Input-normalized signals	No scripts in repo
Figure 4A SAMMY metaprofiles vs ChIP peaks	4fSAMMY	TODO_missing_scripts (Gviz)	nf-core/sammyseq outputs + Bonev peaks	metaprofile figures	R 4.4.2 / Gviz 1.50.0 per Methods
Figure 4B stacked bar differentially soluble genes	4fSAMMY	4fSAMMYseq/Barplot_DiffSolGenes.R	gene list files from differential solubility	diffsoluble_gene_counts_S2SvsS3.pdf	Matches stacked bar description
Figure 4C TPM in DSRs	4fSAMMY	4fSAMMYseq/TPM_DSR.R	S2SvsS3_*.rds; mm10.gtf; salmon.merged.gene_tpm.tsv	FIGURES/new_plot_TPM_DSR.pdf	
Figure 4 / S11 GO of S2S-down genes	4fSAMMY	TODO_partial	DSR gene lists	GO barplots	gprofiler2 0.2.4 per Methods; full script not deposited
Compartment switching panels	4fSAMMY	TODO_missing (nf-core sammyseq compartments_subworkflow)	CALDER2 outputs	compartment figures	Pipeline branch cited in Methods; not in repo
TODO_author_complete_remaining_panels	mixed	TODO	TODO	TODO	Authors should fill remaining figure letters after final manuscript figure renumbering
Supplementary Figure S9 CellRank initial states	scRNAseq_velocity	scRNAseq/RNA_velocity/RNAVeloCellrank.ipynb	kb_python spliced/unspliced counts	CellRank initial-state plots	
Figure 1C chromosomal enrichment	bulk_RNAseq_chr_enrichment	bulk/chromosomal_enrichment/Chromosome_Enrichment.ipynb	DESeq2 results with chromosome annotation	chromosomal enrichment barplot	
Liver DE analyses	bulk_RNAseq_liver	bulk/liver_young_kumar/DE_analysis_young_kumar.R	GSE165447 / GSE324396 counts	DE tables / plots	
Figure 4 / ChIP–SAMMY comparison panels	4fSAMMY	4fSAMMYseq/downstream_viz/; 4fSAMMYseq/ChIP_peaks_vs_random/	sammyseq outputs + GSE96107	metaprofiles / peak vs random stats	Exact panel letters: confirm
Compartment switching panels	4fSAMMY	4fSAMMYseq/compartments_analysis.R	CALDER2 / sammyseq compartment outputs	compartment figures	Confirm compartments_subworkflow commit
